decision,decorative_score,reasons,path,document,page_number,size_bytes,sha256,pixel_width,pixel_height,bbox_width,bbox_height,bbox_area_ratio,unique_sample_colors,dominant_color_ratio,white_or_transparent_ratio,transparent_ratio,luminance_stddev,decode_error
candidate,0,,en-gl-annual-ifrs-disclosure-checklist-v2-09-2025_images/imageFile1.png,en-gl-annual-ifrs-disclosure-checklist-v2-09-2025,1,2093125,db82d4ff8f0593ab1abe8125501eafdc54b8d0499e091ad02fec88a8efd7de8c,1190,1683,596.3,843.3,1.0,,,,,,pixel_sampling_skipped_large_png
candidate,0,,en-gl-annual-ifrs-disclosure-checklist-v2-09-2025_images/imageFile2.png,en-gl-annual-ifrs-disclosure-checklist-v2-09-2025,203,546871,7841eefef1cdb503efb922689af83c7390b24f8c63b3da140866451d3b243711,1133,1603,566.45,801.5,1.0,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile1.png,ey-assurance-eye-reporting-insights-april-2025,1,1778424,9db96c1423f3410bfd135b9907d87757c701ff278e6e78dc8a583ed224776f85,1190,1683,597.43,844.146,1.0,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile10.png,ey-assurance-eye-reporting-insights-april-2025,13,1363325,afff2376073208cdb52924fef6cb8058b4e85d8f22c784f06cbe387bde8a1846,1190,626,597.368,314.337,0.402192,,,,,,pixel_sampling_skipped_large_png
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile11.png,ey-assurance-eye-reporting-insights-april-2025,14,243858,909f2170510cc687fcd6c5c24620e17625200a4c2ebbcc9f942dbf5325084895,495,330,247.638,165.092,0.1243,3332,0.019896,0.03367,0.0,61.415753,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile12.png,ey-assurance-eye-reporting-insights-april-2025,15,260794,62aa5c4d4717a3e9f2326df6df3859724c3fdf513518434142c2ffb95e49223d,495,316,247.638,158.107,0.12182,4408,0.041667,0.049085,0.0,57.056261,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile13.png,ey-assurance-eye-reporting-insights-april-2025,16,209976,107a91760395498a0cdef13a2baa2605060a6930ba3fa74a5bab335e7acbddce,496,190,247.953,94.855,0.071005,7742,0.038027,0.051958,0.0,80.641886,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile14.png,ey-assurance-eye-reporting-insights-april-2025,17,361206,fbae1ac3efc4157df8966116acd5800956a592aba573789dad641b3f4f7888a5,499,527,249.732,263.416,0.182567,3489,0.035173,0.120942,0.0,66.336392,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile15.png,ey-assurance-eye-reporting-insights-april-2025,18,147066,9f1eea5158829f0484ac858fdf84e52d547220d56555917d02fa84e03e95eb49,497,163,248.61,81.382,0.061665,5533,0.067798,0.191128,0.0,76.992953,
candidate,0,,ey-assurance-eye-reporting-insights-april-2025_images/imageFile16.png,ey-assurance-eye-reporting-insights-april-2025,19,340167,b5d25a35f98bfe615771985b55bd8d3789dd5e74cc46859272385a14bc5c2504,499,409,249.673,204.735,0.183544,5349,0.030366,0.039878,0.0,70.052524,
