"Document","JsonFile","Pages","PagesWithText","TextCoveragePct","SparsePages","SparsePagePct","EmptyPages","TextChars","AvgCharsPerPage","TextElements","ImageElements","MissingImages","TypedElements","TypedElementsMissingPage","TypedElementsMissingPagePct","TypedElementsMissingValidBBox","TypedElementsMissingValidBBoxPct","TextElementsMissingValidBBox","TextElementsMissingValidBBoxPct","TypedElementsMissingPageByType","TypedElementsMissingBBoxByType","MarkdownPageMarkers","MarkdownMatchesPages","MarkdownImageRefs","ReplacementChars","ControlChars","LongWhitespaceRuns","HyphenLineBreaks","HighSymbolTextElements","MetadataScore","TextExtractionScore","TextExtractionGrade","MetadataGrade","HasTitle","HasAuthor","HasCreationDate","HasModificationDate","SourcePdfExists","WorstSparsePages"
"en-gl-annual-ifrs-disclosure-checklist-v2-09-2025.pdf","en-gl-annual-ifrs-disclosure-checklist-v2-09-2025.json","203","196","96,55","7","3,45","7","581274","2863,4","4409","2","0","25047","6457","25,78","6457","25,78","0","0","table row=6457","table row=6457","203","True","2","0","0","0","0","5","85","96,9","excellent","good","False","True","True","True","True","p1=0; p198=0; p199=0; p200=0; p201=0; p202=0; p203=0"
"ey-assurance-eye-reporting-insights-april-2025.pdf","ey-assurance-eye-reporting-insights-april-2025.json","28","28","100","1","3,57","0","93197","3328,5","544","22","0","762","38","4,99","38","4,99","0","0","table row=38","table row=38","28","True","22","0","0","0","0","0","95","98,9","excellent","excellent","True","False","True","True","True","p1=42"
"ey-ceo-outlook-pulse-survey-global-report-january-2025.pdf","ey-ceo-outlook-pulse-survey-global-report-january-2025.json","16","16","100","0","0","0","30653","1915,8","606","8","0","881","14","1,59","14","1,59","0","0","table row=14","table row=14","16","True","8","0","0","0","0","0","80","100","excellent","good","False","False","True","True","True",""
"ey-frd-series-spring-2025.pdf","ey-frd-series-spring-2025.json","51","51","100","0","0","0","40651","797,1","704","335","0","1599","150","9,38","150","9,38","0","0","table row=150","table row=150","51","True","335","0","0","0","0","0","95","100","excellent","excellent","True","False","True","True","True",""
"ey-gl-applying-ifrs-a-closer-look-at-ifrs-18-07-2025.pdf","ey-gl-applying-ifrs-a-closer-look-at-ifrs-18-07-2025.json","129","129","100","0","0","0","362063","2806,7","1673","15","0","2075","32","1,54","32","1,54","0","0","table row=32","table row=32","129","True","15","0","0","0","0","0","80","100","excellent","good","False","False","True","True","True",""
"ey-gl-ceo-outlook-survey-01-2026.pdf","ey-gl-ceo-outlook-survey-01-2026.json","18","18","100","0","0","0","41805","2322,5","815","26","0","1144","24","2,1","24","2,1","0","0","table row=24","table row=24","18","True","26","0","0","0","0","0","80","100","excellent","good","False","False","True","True","True",""
"ey-gl-ceo-outlook-survey-08-2025.pdf","ey-gl-ceo-outlook-survey-08-2025.json","16","16","100","0","0","0","37783","2361,4","456","27","0","486","0","0","0","0","0","0","none","none","16","True","27","0","0","0","0","0","80","100","excellent","good","False","False","True","True","True",""
"ey-gl-ctools-ifrs-update-04-2025.pdf","ey-gl-ctools-ifrs-update-04-2025.json","19","17","89,47","2","10,53","2","48196","2536,6","267","7","0","308","0","0","0","0","0","0","none","none","19","True","7","0","0","0","0","0","100","90,5","excellent","excellent","True","True","True","True","True","p1=0; p19=0"
"ey-gl-ey-csrd-barometer-05-2025.pdf","ey-gl-ey-csrd-barometer-05-2025.json","33","33","100","0","0","0","69306","2100,2","1263","8","0","1847","41","2,22","41","2,22","0","0","table row=41","table row=41","33","True","8","0","0","0","0","0","100","100","excellent","excellent","True","True","True","True","True",""
"ey-gl-sustainability-deve-10-ed-sasb-ifrs-07-2025.pdf","ey-gl-sustainability-deve-10-ed-sasb-ifrs-07-2025.json","4","4","100","0","0","0","10054","2513,5","53","1","0","58","0","0","0","0","0","0","none","none","4","True","1","0","0","0","0","0","100","100","excellent","excellent","True","True","True","True","True",""
"ey-sg-good-group-ifrs-18-12-2025.pdf","ey-sg-good-group-ifrs-18-12-2025.json","172","172","100","1","0,58","0","587225","3414,1","3382","1","0","3711","0","0","0","0","0","0","none","none","172","True","1","0","0","0","0","58","95","99,8","excellent","excellent","True","False","True","True","True","p1=46"
"IAASB-2025-Handbook-Volume-1.pdf","IAASB-2025-Handbook-Volume-1.json","1046","1044","99,81","4","0,38","2","3671660","3510,2","18622","533","0","23038","118","0,51","118","0,51","0","0","table row=118","table row=118","1046","True","533","0","0","0","0","135","85","99,8","excellent","good","False","True","True","True","True","p2=0; p7=29; p1045=34; p1046=0"
"IAASB-2025-Handbook-Volume-2.pdf","IAASB-2025-Handbook-Volume-2.json","130","128","98,46","3","2,31","2","392959","3022,8","2262","75","0","3193","80","2,51","80","2,51","0","0","table row=80","table row=80","130","True","75","0","0","0","0","71","80","98,4","excellent","good","False","False","True","True","True","p2=0; p129=29; p130=0"
"IAASB-2025-Handbook-Volume-3.pdf","IAASB-2025-Handbook-Volume-3.json","178","176","98,88","3","1,69","2","655778","3684,1","3567","99","0","4818","128","2,66","128","2,66","0","0","table row=128","table row=128","178","True","99","0","0","0","0","4","85","98,8","excellent","good","False","True","True","True","True","p2=0; p177=35; p178=0"
"IAASB-2025-Handbook-Volume-4.pdf","IAASB-2025-Handbook-Volume-4.json","302","300","99,34","3","0,99","2","1072391","3551","5446","163","0","6813","46","0,68","46","0,68","0","0","table row=46","table row=46","302","True","163","0","0","0","0","33","80","99,3","excellent","good","False","False","True","True","True","p2=0; p301=35; p302=0"
"IAASB-2025-Handbook-Volume-5.pdf","IAASB-2025-Handbook-Volume-5.json","69","67","97,1","3","4,35","2","233586","3385,3","1173","46","0","1530","14","0,92","14","0,92","0","0","table row=14","table row=14","69","True","46","0","0","0","0","7","80","97","excellent","good","False","False","True","True","True","p2=0; p68=35; p69=0"
